,年齡層,道路型態,車種,事故型態,群
0,0,交岔路,慢車,A2,2
1,0,交岔路,小客車,A2,2
2,0,單路部分,機車,A2,1
3,1,交岔路,小客車,A2,2
4,0,交岔路,小客車,A2,2
5,0,單路部分,機車,A2,1
6,1,交岔路,機車,A2,0
7,2,交岔路,機車,A2,0
8,2,交岔路,小客車,A2,2
9,0,單路部分,小客車,A2,3
10,1,交岔路,小客車,A2,2
11,2,交岔路,機車,A2,0
12,1,交岔路,機車,A2,0
13,2,交岔路,機車,A2,0
14,0,單路部分,機車,A2,1
15,0,交岔路,機車,A2,0
16,2,交岔路,機車,A2,0
17,2,交岔路,機車,A2,0
18,1,單路部分,小客車,A2,3
19,0,交岔路,機車,A2,0
20,1,交岔路,機車,A2,0
21,0,單路部分,機車,A2,1
22,1,交岔路,小客車,A2,2
23,1,單路部分,機車,A2,1
24,2,交岔路,機車,A2,0
25,2,交岔路,機車,A2,0
26,1,交岔路,機車,A2,0
27,0,交岔路,機車,A2,0
28,1,交岔路,小客車,A2,2
29,0,單路部分,機車,A2,1
30,1,交岔路,小客車,A2,2
31,0,交岔路,機車,A2,0
32,1,交岔路,小客車,A2,2
33,1,交岔路,機車,A2,0
34,2,交岔路,小客車,A2,2
35,2,交岔路,機車,A2,0
36,0,交岔路,機車,A2,0
37,2,交岔路,機車,A2,0
38,1,單路部分,機車,A2,1
39,2,單路部分,小客車,A2,3
40,1,交岔路,小客車,A2,2
41,1,交岔路,機車,A2,0
42,0,單路部分,小客車,A2,3
43,0,交岔路,機車,A2,0
44,2,交岔路,機車,A2,0
45,1,交岔路,機車,A2,0
46,2,單路部分,小客車,A2,3
47,1,交岔路,機車,A2,0
48,1,交岔路,機車,A2,0
49,1,單路部分,小客車,A2,3
50,1,交岔路,小客車,A2,2
51,1,交岔路,小客車,A2,2
52,1,交岔路,機車,A2,0
53,2,單路部分,小客車,A2,3
54,2,單路部分,機車,A2,1
55,0,單路部分,機車,A2,1
56,0,交岔路,機車,A2,0
57,1,單路部分,機車,A2,1
58,1,交岔路,機車,A2,0
59,0,交岔路,機車,A2,0
60,0,單路部分,機車,A2,1
61,0,單路部分,機車,A2,1
62,2,單路部分,小貨車(含客、貨兩用),A2,3
63,2,交岔路,機車,A2,0
64,2,交岔路,機車,A2,0
65,0,交岔路,機車,A2,0
66,1,交岔路,機車,A2,0
67,2,交岔路,機車,A2,0
68,2,交岔路,機車,A2,0
69,0,交岔路,小客車,A2,2
70,0,交岔路,小客車,A2,2
71,1,交岔路,機車,A2,0
72,1,交岔路,人,A2,2
73,1,交岔路,小客車,A2,2
74,1,單路部分,機車,A2,1
75,1,交岔路,小客車,A2,2
76,0,交岔路,機車,A2,0
77,0,單路部分,機車,A2,1
78,1,交岔路,機車,A2,0
79,0,交岔路,機車,A2,0
80,0,交岔路,小貨車(含客、貨兩用),A2,2
81,0,交岔路,小客車,A2,2
82,0,交岔路,機車,A2,0
83,1,單路部分,小客車,A2,3
84,0,交岔路,機車,A2,0
85,1,交岔路,小客車,A2,2
86,2,交岔路,機車,A2,0
87,1,單路部分,機車,A2,1
88,1,單路部分,慢車,A2,3
89,1,交岔路,機車,A2,0
90,1,單路部分,小貨車(含客、貨兩用),A2,3
91,0,交岔路,機車,A2,0
92,0,交岔路,小客車,A2,2
93,1,交岔路,機車,A2,0
94,1,交岔路,機車,A2,0
95,2,單路部分,機車,A2,1
96,1,單路部分,機車,A2,1
97,1,交岔路,小客車,A2,2
98,0,交岔路,小客車,A2,2
